team1,team2,home_team,team1_score,year,week,postseason,Att_x,Cmp,Cmp %,Yds/Att,Pass Yds,TD_x,INT,Rate,1st,1st%,20+_x,40+_x,Sck,SckY,Att_y,Rush Yds,YPC,TD_y,20+_y,40+_y,Rush 1st,Rush 1st%,Rush FUM,FGM,FG %,XPM,XP Pct,KRet TD,PRet T,allowed_Att_x,allowed_Cmp,allowed_Cmp %,allowed_Yds/Att,allowed_Yds,allowed_TD_x,allowed_INT_x,allowed_1st,allowed_1st%,allowed_Sck,allowed_Att_y,allowed_Rush Yds,allowed_YPC,allowed_TD_y,allowed_Rush 1st,allowed_Rush 1st%,allowed_FF,allowed_FR,allowed_FR TD,allowed_INT_y,allowed_INT TD,allowed_INT Yds
Redskins,Packers,0,20,2013,2,0,611.0,355.0,58.1,6.6,4057.0,20.0,19.0,76.1,198.0,32.4,39.0,6.0,43.0,306.0,453.0,2164.0,4.8,14.0,16.0,1.0,112.0,24.7,11.0,21.0,80.8,33.0,100.0,0.0,0.0,539.0,332.0,61.6,7.3,3956.0,30.0,11.0,190.0,35.2,44.0,432.0,2000.0,4.6,16.0,116.0,26.8,16.0,11.0,2.0,11.0,0.0,36.0
Texans,Titans,1,30,2013,2,0,633.0,371.0,58.6,6.6,4183.0,19.0,22.0,74.0,198.0,31.3,53.0,9.0,42.0,370.0,414.0,1743.0,4.2,7.0,7.0,1.0,89.0,21.5,5.0,26.0,74.3,26.0,100.0,0.0,1.0,545.0,344.0,63.1,6.6,3612.0,15.0,13.0,191.0,35.0,36.0,446.0,1795.0,4.0,21.0,108.0,24.2,14.0,12.0,2.0,13.0,1.0,113.0
Titans,Texans,0,24,2013,2,0,533.0,328.0,61.5,7.0,3710.0,22.0,16.0,83.6,172.0,32.3,48.0,10.0,37.0,214.0,462.0,1894.0,4.1,16.0,11.0,0.0,103.0,22.3,8.0,25.0,86.2,41.0,100.0,0.0,0.0,484.0,287.0,59.3,6.4,3123.0,29.0,7.0,158.0,32.6,32.0,454.0,1958.0,4.3,11.0,88.0,19.4,10.0,4.0,0.0,7.0,1.0,86.0
Colts,Dolphins,1,20,2013,2,0,582.0,350.0,60.1,6.8,3952.0,23.0,10.0,86.5,191.0,32.8,45.0,10.0,32.0,227.0,409.0,1743.0,4.3,15.0,11.0,2.0,88.0,21.5,3.0,35.0,87.5,34.0,100.0,0.0,0.0,580.0,344.0,59.3,6.5,3752.0,17.0,18.0,192.0,33.1,42.0,484.0,1998.0,4.1,14.0,114.0,23.6,10.0,6.0,0.0,18.0,2.0,204.0
Dolphins,Colts,0,24,2013,2,0,594.0,357.0,60.1,6.7,3966.0,24.0,19.0,80.1,205.0,34.5,47.0,11.0,58.0,399.0,349.0,1440.0,4.1,8.0,8.0,4.0,61.0,17.5,5.0,26.0,76.5,33.0,100.0,0.0,0.0,536.0,324.0,60.4,6.9,3711.0,21.0,15.0,191.0,35.6,42.0,448.0,2002.0,4.5,14.0,101.0,22.5,19.0,12.0,0.0,15.0,1.0,186.0
Chiefs,Cowboys,1,17,2013,2,0,546.0,333.0,61.0,6.5,3561.0,24.0,8.0,88.6,179.0,32.8,45.0,7.0,41.0,221.0,442.0,2056.0,4.6,17.0,13.0,1.0,110.0,24.9,8.0,22.0,78.6,52.0,100.0,2.0,2.0,623.0,403.0,64.7,7.4,4589.0,33.0,15.0,231.0,37.1,34.0,437.0,2056.0,4.7,17.0,122.0,27.9,13.0,13.0,3.0,15.0,2.0,257.0
Cowboys,Chiefs,0,16,2013,2,0,586.0,375.0,64.0,7.2,4226.0,33.0,12.0,95.7,213.0,36.4,48.0,7.0,35.0,272.0,336.0,1504.0,4.5,12.0,9.0,4.0,80.0,23.8,5.0,28.0,93.3,47.0,100.0,0.0,1.0,592.0,334.0,56.4,6.7,3962.0,25.0,21.0,189.0,31.9,47.0,428.0,1923.0,4.5,9.0,88.0,20.6,13.0,15.0,2.0,21.0,5.0,488.0
Eagles,Chargers,1,30,2013,2,0,508.0,310.0,61.0,8.7,4406.0,32.0,9.0,102.7,197.0,38.8,80.0,18.0,46.0,296.0,500.0,2566.0,5.1,19.0,19.0,5.0,133.0,26.6,5.0,23.0,82.1,45.0,100.0,0.0,0.0,548.0,364.0,66.4,7.6,4139.0,23.0,11.0,208.0,38.0,35.0,376.0,1725.0,4.6,14.0,98.0,26.1,11.0,6.0,0.0,11.0,1.0,143.0
Chargers,Eagles,0,33,2013,2,0,544.0,378.0,69.5,8.2,4478.0,32.0,11.0,105.5,230.0,42.3,60.0,6.0,30.0,150.0,486.0,1965.0,4.0,9.0,7.0,2.0,103.0,21.2,5.0,34.0,91.9,42.0,100.0,0.0,0.0,670.0,408.0,60.9,6.9,4636.0,25.0,19.0,239.0,35.7,37.0,443.0,1668.0,3.8,12.0,100.0,22.6,13.0,12.0,1.0,19.0,1.0,294.0
Cardinals,Lions,1,25,2013,2,0,574.0,363.0,63.2,7.5,4291.0,24.0,22.0,83.9,205.0,35.7,49.0,9.0,41.0,289.0,422.0,1540.0,3.6,12.0,10.0,1.0,84.0,19.9,7.0,30.0,83.3,37.0,100.0,0.0,0.0,572.0,338.0,59.1,6.9,3950.0,24.0,15.0,197.0,34.4,33.0,377.0,1596.0,4.2,10.0,62.0,16.4,11.0,7.0,1.0,15.0,1.0,211.0
